Unnamed: 0,EE Name,EE username,SUP NAME,SUP username,EE Email,EE Job Title
1,"Avondo, Charade",cavondo,,-,cavondo@xinyxsemicon.com,President / General Manager
2,"Domingo, Uma",udomingo,"Avondo, Charade",cavondo,udomingo@example.com,Operations Manager
3,"Xavier, Aiden",axavier,"Domingo, Uma",udomingo,axavier@example.com,"(job title placeholder, update sheet)"
4,"Hernandez, Isaac",ihernandez,"Domingo, Uma",udomingo,ihernandez@example.com,"(job title placeholder, update sheet)"
5,"Estrada, Helena",hestrada,"Domingo, Uma",udomingo,hestrada@example.com,"(job title placeholder, update sheet)"
6,"Domingo, Xena",xdomingo,"Xavier, Aiden",axavier,xdomingo@example.com,"(job title placeholder, update sheet)"
7,"Xavier, Vince",vxavier,"Xavier, Aiden",axavier,vxavier@example.com,"(job title placeholder, update sheet)"
8,"Cruz, Rafa",rcruz,"Hernandez, Isaac",ihernandez,rcruz@example.com,"(job title placeholder, update sheet)"
9,"Navarro, Selene",snavarro,"Hernandez, Isaac",ihernandez,snavarro@example.com,"(job title placeholder, update sheet)"
10,"Alvarez, Bea",balvarez,"Hernandez, Isaac",ihernandez,balvarez@example.com,"(job title placeholder, update sheet)"
11,"Garcia, Caleb",cgarcia,"Hernandez, Isaac",ihernandez,cgarcia@example.com,"(job title placeholder, update sheet)"
12,"Quintos, Helena",hquintos,"Estrada, Helena",hestrada,hquintos@example.com,"(job title placeholder, update sheet)"
13,"Alvarez, Tomas",talvarez,"Estrada, Helena",hestrada,talvarez@example.com,"(job title placeholder, update sheet)"
14,"Garcia, Rafa",rgarcia,"Alvarez, Tomas",talvarez,rgarcia@example.com,"(job title placeholder, update sheet)"
15,"Uy, Wesley",wuy,"Alvarez, Tomas",talvarez,wuy@example.com,"(job title placeholder, update sheet)"
16,"Ramirez, Wesley",wramirez,"Alvarez, Tomas",talvarez,wramirez@example.com,"(job title placeholder, update sheet)"
17,"Hernandez, Noemi",nhernandez,"Alvarez, Tomas",talvarez,nhernandez@example.com,"(job title placeholder, update sheet)"
18,"Santos, Owen",osantos,"Garcia, Rafa",rgarcia,osantos@example.com,"(job title placeholder, update sheet)"
19,"Zamora, Isaac",izamora,"Garcia, Rafa",rgarcia,izamora@example.com,"(job title placeholder, update sheet)"
20,"Yap, Aiden",ayap,"Garcia, Rafa",rgarcia,ayap@example.com,"(job title placeholder, update sheet)"
21,"Fernandez, Zeke",zfernandez,"Garcia, Rafa",rgarcia,zfernandez@example.com,"(job title placeholder, update sheet)"
22,"Navarro, Wesley",wnavarro,"Uy, Wesley",wuy,wnavarro@example.com,"(job title placeholder, update sheet)"
23,"Ibarra, Kieran",kibarra,"Uy, Wesley",wuy,kibarra@example.com,"(job title placeholder, update sheet)"
24,"Garcia, Ephraim",egarcia,"Uy, Wesley",wuy,egarcia@example.com,"(job title placeholder, update sheet)"
25,"Klein, Yasmin",yklein,"Ramirez, Wesley",wramirez,yklein@example.com,"(job title placeholder, update sheet)"
26,"Cruz, Daria",dcruz,"Ramirez, Wesley",wramirez,dcruz@example.com,"(job title placeholder, update sheet)"
27,"Domingo, Mira",mdomingo,"Ramirez, Wesley",wramirez,mdomingo@example.com,"(job title placeholder, update sheet)"
28,"Lopez, Luca",llopez,"Ramirez, Wesley",wramirez,llopez@example.com,"(job title placeholder, update sheet)"
29,"Ibarra, Tomas",tibarra,"Hernandez, Noemi",nhernandez,tibarra@example.com,"(job title placeholder, update sheet)"
30,"Bautista, Zeke",zbautista,"Hernandez, Noemi",nhernandez,zbautista@example.com,"(job title placeholder, update sheet)"
31,"Ortega, Xena",xortega,"Hernandez, Noemi",nhernandez,xortega@example.com,"(job title placeholder, update sheet)"
32,"Domingo, Rafa",rdomingo,"Hernandez, Noemi",nhernandez,rdomingo@example.com,"(job title placeholder, update sheet)"
33,"Cruz, Mira",mcruz,"Estrada, Helena",hestrada,mcruz@example.com,"(job title placeholder, update sheet)"
34,"Jimenez, Rafa",rjimenez,"Estrada, Helena",hestrada,rjimenez@example.com,"(job title placeholder, update sheet)"
35,"Torres, Uma",utorres,"Estrada, Helena",hestrada,utorres@example.com,"(job title placeholder, update sheet)"
36,"Santos, Luca",lsantos,"Estrada, Helena",hestrada,lsantos@example.com,"(job title placeholder, update sheet)"
37,"Wong, Gio",gwong,"Santos, Luca",lsantos,gwong@example.com,"(job title placeholder, update sheet)"
38,"Bautista, Caleb",cbautista,"Santos, Luca",lsantos,cbautista@example.com,"(job title placeholder, update sheet)"
39,"Hernandez, Vince",vhernandez,"Santos, Luca",lsantos,vhernandez@example.com,"(job title placeholder, update sheet)"
40,"Jimenez, Yasmin",yjimenez,"Domingo, Xena",xdomingo,yjimenez@example.com,"(job title placeholder, update sheet)"
41,"Hernandez, Caleb",chernandez,"Domingo, Xena",xdomingo,chernandez@example.com,"(job title placeholder, update sheet)"
42,"Mendoza, Daria",dmendoza,"Domingo, Xena",xdomingo,dmendoza@example.com,"(job title placeholder, update sheet)"
43,"Ortega, Isaac",iortega,"Domingo, Xena",xdomingo,iortega@example.com,"(job title placeholder, update sheet)"
44,"Lopez, Uma",ulopez,"Domingo, Xena",xdomingo,ulopez@example.com,"(job title placeholder, update sheet)"
